middle,predict,truth
7150.0,0,715
90.0,0,9
470.0,0,47
160.0,0,16
1948655344325.3518,289476843575754112,148552
1073921087702.1897,67315855716199038976,62682311
2214773865303.4917,26556419005760397312,11990578
744383148471.9652,116899150498839216128,157041640
2515237970886.656,2139655342883744768,850677
4699489694932.5,844104010993965440,179616
1828881103607.2048,3715675739129346048,2031666
3078320189110.486,19497267709127909376,6333736
3982010323956.9346,7691763036245318656,1931628
2657961967902.308,33858501953159106560,12738520
12240.0,0,1224
3135589459644.8193,41455941804910120,13221
330.0,0,33
12240.0,0,1224
1977625590530.5015,225810515011345383424,114182642
20213828.84697233,91637009867328,4533382
131718937.72674501,91637009867328,695701
4271292.28474745,91637009867328,21454165
3546337924323.979,47364279701781872640,13355828
4082599642252.4043,18171051273778003968,4450853
2016032680773.145,1601921625451482112,794591
9679137525721.809,47364279701781872640,4893440
34289935388411.637,47364279701781872640,1381288
3840685485763.554,33490866155692912640,8720023
4598440082203.738,13212302882192941056,2873214
2891421935458.9434,164711016085600894976,56965403
4399910078232.417,31472996780604304,7153
2231795036243.1343,31472996780604304,14102
862365836226.234,27025796860020916224,31339132
3.1827617794739778e+19,2401078669196948580335616,75440
720.0,0,72
7.854591347922621e+18,2401078669196948580335616,305691
6.619758534522888e+17,1270659407019986433081344,1919495
1.8303191578748593e+18,275975705656287068946432,150780
5.89809382481259e+17,1912897569285134329315328,3243247
2.7675272370531e+18,2888642808280978500354048,1043763
9.819117286122069e+16,50330419090288779328487424,512575801
4.4685615730569146e+17,92400255352099832160321536,206778521
1.0179793463347563e+17,63654535912061576125874176,625302823
1.3456454715652396e+18,10491898298593823206408192,7796926
2.908848130325315e+18,5326415373108539912355840,1831108
2.262062241530938e+19,66416253391295212983156736,2936093
3.9436256992378865e+18,64919603841652323776462848,16461908
5.943068737852753e+18,146649982098882571165237248,24675801
1.1083176044899014e+18,146649982098882571165237248,132317651
8.811954414353304e+17,79880245249261325460176896,90649862
538560460125.63477,81419469704843460608,151179813
539014959017.15356,45394256276376576000,84217062
1.4001824063636334e+18,466924567797946877214720,333474
1.5198719318868465e+18,466924567797946877214720,307213
7.090115159307323e+17,466924567797946877214720,658557
6.058843118722246e+23,5013795135779795968744988082176,8275169
8.064156302129614e+23,4080951857391056619087025143808,5060606
7.674950275441587e+22,103827460675347554207477018918912,1352809555
5.409508770170102e+22,10382746067534755628335497216,191935
3.7890411991145954e+22,361372637890490813576046834614272,9537310863
5.95791365946779e+23,293691743407366199370466319138816,492943940
1.4205510591849853e+24,45962757843252808742311699677184,32355583
2.6266669180245984e+17,21406022862708207932932096,81495003
3.251612699845483e+17,16675194065653059440082944,51282842
4.372942006410287e+17,8311257306803454607360,19006
3.873234101242727e+23,10348670748235143155390085070848,26718423
4.766048123911292e+23,7536841721727341292756731428864,15813608
1.8644590463138865e+23,199030276054979332350261854208,1067496
7.421736864311364e+23,199030276054979332350261854208,268172
6.191294293471518e+23,159973892633992352443622037127168,258385218
