easy,predict,truth
1.007,45004,45321
1.059,146894,138709
1.045,522217,499558
1.005,989834,985048
4.618,578593,2671926
1.008,912617,920110
1.04,2005006,2085616
1.315,179,136
19.369,200242,3878469
64.227,564319,36244344
58.178,46,2682
1.007,456866,459925
70.483,303903,21419885
1.178,749204,882915
1.184,2046862,2423144
1.151,474743,412290
1.008,912479,919850
19.663,230076,4523930
4755.377,1011,4808162
5.468,287,1570
218.182,240,1
15.415,37925,584599
252.768,96,24291
19.639,2528,49650
109868.777,1517,166681922
27.911,255,7120
1.046,9658054,10099080
13.49,139576969,10346997
1.314,2401754,1827632
1.008,456240,459925
1.003,1538731,1543264
71305.573,191,13626495
4227.402,6068,25652300
1.035,678113,701649
1.318,7417860,5626795
45.72,177,8097
2951648.112,73,215765477
4.874,445072,2169112
224666.343,182,40911741
68.461,50566,3461792
73381.959,102,7492298
26490.894,86,2280866
77.99,17803,1388460
595.603,14,8398
1.016,362307,368246
45.934,6574,301974
9.75,1137,11087
34.452,13147,452939
28.441,2208,62800
1906751.568,42,80274241
11.736,142,12
1.008,456378,460185
11144.458,1149,12806097
28.71,89,3
1.204,289297,348305
19.004,506,9618
91118.198,921,83928972
21.568,139310,3004615
10.889,46,502
8.897,67,597
13.668,190888,2609129
64.573,90514,5844784
12080.189,37,448175
1.043,13935192,14528932
1.013,6826,6735
1.144,159,182
52.283,2484,129875
1.883,138,260
1.005,1511760,1519569
1.011,670003,662825
2.136,154,72
1.201,6826,8199
1.041,6279960,6534671
58.658,8901,522121
3.875,147,570
16.772,30593,513114
2.189,189,414
1.018,2813884,2863449
1.16,4451,5162
117.416,2528,296839
76.667,161,2
1.005,316292,318019
1.005,448321,446207
1.065,2172391,2312713
1.556,8901432,5719086
31.623,2208,69827
1.036,774425,802140
1.01,623735,629900
33.181,27601,915845
1.007,913985,920110
208.115,14836,3087608
128.947,4968,640621
574.196,33935,59
1.053,14089483,14835720
17.274,136,2351
1.004,1473247,1478437
1.076,12642,11744
12.131,353,29
750.397,222536,166990434
58.199,1810,31
136.452,552,75335
1.04,10454732,10872384
56.926,260416,14824459
8.381,200,1677
2.924,88,30
1.748,189,108
1.66,17802864,10723562
484928.648,28,13626495
1.176,1898972,2233850
4050.987,74179,300498586
33.917,173,5871
3195.785,506,1617387
1.057,12058473,12744652
1.042,76355,79548
7.541,46,6
31.45,327395159,10410173
1.206,639420,771090
3.052,333,109
10898.9,29,317158
1006077.276,30,30282926
1.006,1127880,1134228
28559.24,3540,101102564
9.845,168,1655
1.929,101132,195088
98.381,41401,4073078
1.007,456866,459925
6.946,50566,351218
61.193,124,7594
32.342,244504345,7560006
7.335,126,925
13.214,198220317,15001296
1.001,2372232,2375457
1.022,3815030,3733700
1.076,2679331,2884117
